ref                                               title                                              size  lastUpdated                 downloadCount  voteCount  usabilityRating  
------------------------------------------------  -------------------------------------------  ----------  --------------------------  -------------  ---------  ---------------  
sethmoudry/nemotron-sft-v32-adapter               nemotron-sft-v32-adapter                     3273307918  2026-05-20 12:34:28.200000             26          0  0.25             
kingkong153/nemotron-adapter-v31                  nemotron-adapter-v31                         3820963822  2026-05-17 17:59:28.300000             28          0  0.25             
penguin069/nemotron-adapter-run                   nemotron-adapter-run                         1425455568  2026-05-15 07:37:29.160000             23          0  0.25             
leegongman/0-86-adapter                           0.86_adapter                                 3270313975  2026-05-14 00:50:20.613000             12          0  0.0              
penguin069/nemotron-adapter-run-peft              nemotron-adapter-run-peft                    3286489066  2026-05-13 13:45:09.857000             14          0  0.25             
nybbler/nemotron-v6-aux-adapter                   Nemotron v6 aux adapter                      3248324006  2026-05-13 07:48:53.957000             25          0  0.25             
nybbler/nemotron-v5-adapter                       Nemotron v5 adapter                          3244592520  2026-05-12 11:21:12.757000             17          0  0.25             
aidenzhao0912/nemotron-v4b-submission-adapter     nemotron-v4b-submission-adapter              3816767741  2026-05-11 04:43:06.867000             19          0  0.25             
rohitjarali1/nemotron-judge-adapter               nemotron-judge-adapter                        459821657  2026-05-04 17:41:59.917000             47          1  0.3125           
nctuan/nvidia-nemotron-reasoning-challenge        NVIDIA Nemotron Reasoning Challenge Dataset      643019  2026-04-28 08:50:43.960000             32          0  0.9411765        
uditjain13/nemotron-30b-science-expert-peft       Nemotron-30B Science Expert PEFT               22000223  2026-04-22 16:25:05.113000             28          1  0.9375           
uditjain13/nemotron-30b-code-hyper-reasoner-peft  Nemotron-30B Code Hyper-Reasoner PEFT          22011029  2026-04-22 16:23:44.847000             26          1  0.9375           
uditjain13/nemotron-30b-math-reasoner-peft        Nemotron-30B Math Reasoner PEFT                22010886  2026-04-22 16:23:03.147000             36          1  0.9375           
uditjain13/nemotron-30b-multi-domain-merged-peft  Nemotron-30B Multi-Domain Merged PEFT          30569278  2026-04-22 16:15:05.080000             49          1  0.9375           
andreyyunoshev/huikang-nemotron-adapter-mirror    huikang-nemotron-adapter-mirror              1425431877  2026-04-16 14:21:36.807000             26          0  0.3125           
bharatmohan/nemotron-v30-sft-mixed-adapter        Nemotron V30 SFT Mixed Adapter               3226034308  2026-04-08 18:48:53.343000             23          0  0.25             
furkankesen/format-contract-v2-adapter            Nemotron Format Contract V2 Adapter          3229551834  2026-04-08 16:39:23.980000             29          0  0.25             
bharatmohan/nemotron-v31-grpo-adapter             Nemotron V31 GRPO Adapter                    3229208665  2026-04-08 10:27:04.740000             31          0  0.25             
mauroprotocassina/nemotron-b79-adapter            Nemotron B79 Adapter                          102569393  2026-04-06 02:53:59.350000             34          0  0.25             
rickwujizhang/nemotron-eval-adapter-v41-full      nemotron eval adapter v41 full               3243085674  2026-04-05 14:33:31.093000             21          0  0.25             
