ref,title,author,lastRunTime,totalVotes
ayomide2000/finding-nemo,finding nemo,Ayomide2000,2026-06-10 22:02:28.620000,110
wethepeople918/nemotronloraforge,NemotronLoraForge,Nine1Eight,2026-06-10 21:30:21.783000,100
evgendvorkin/nemotron-3-nano-lora-adapter-submission,Nemotron-3 Nano: LoRA Adapter Submission,Дворкин Евгений Владимирович,2026-06-10 20:47:55.217000,25
vaibhav2kesri/try-custom-cot,Try custom CoT,vaibhav kesri,2026-06-10 18:17:30.970000,4
mirzayasirabdullah07/nvidia-nemotron-competition,NVIDIA Nemotron Competition ,Mirza Yasir Abdullah Baig,2026-06-10 18:01:19.097000,103
vngnguynhuy/refine,Refine,Vương Nguyễn Huy,2026-06-10 17:08:09.200000,67
johnsonhk88/nvidia-nemotron-model-fine-tuning,Nvidia-Nemotron Model Fine Tuning,Johnson chong,2026-06-10 14:57:19.223000,2
habanwer/nemotron-atlas,Nemotron ATLAS,Shehab Anwer,2026-06-10 12:25:49.260000,5
rauffauzanrambe/lora-nemo-pipeline-improve-modular-v2,LoRA NEMO Pipeline Improve Modular V2,Ra'uf Fauzan Rambe,2026-06-10 12:10:05.950000,24
dhanushbe06/huikang-pure,huikang_pure,Dhanush BE,2026-06-10 11:57:33.117000,7
nguyenducdung1107/notebook-ex-colqwen-layout-rvq,[notebook-ex] colqwen layout  RVQ,NGUYEN DUC DUNG 1107,2026-06-10 06:49:37.987000,3
johnsmall11/jxg-bss-da5d9e,jxg-bss da5d9e,John Small11,2026-06-10 04:53:36.027000,1
varianceofx/synthetic-dataset-generator-27k,synthetic-dataset-generator-27k,varianceofx,2026-06-10 02:46:48.397000,9
bbobwayne/nemotron-tier-2-unsloth-lora-r-32,Nemotron Tier-2 Unsloth LoRA r 32,bbobWayne,2026-06-10 01:00:49.627000,3
shimoyamas/nvidia-nemotron-training,NVIDIA Nemotron - training,simo,2026-06-10 00:24:22.243000,1
pajakchaithongchai/new-benchmark-task-e1e79,New Benchmark Task e1e79,PAJAKCHAI THONGCHAI,2026-06-09 22:49:58.033000,2
thinam3/notebook-test-rvq-colpali-mmdocir-layout-level,[Notebook] test RVQ Colpali MMDocIR layout-level,Thái Nam(3),2026-06-09 18:39:16.227000,0
nguyenducdung1107/notebook-ex-colqwen-layout,[notebook-ex] colqwen layout ,NGUYEN DUC DUNG 1107,2026-06-09 15:00:55.567000,2
kuangyicheng/nemotron-087-training,nemotron-087-training,AbsoluterGeist,2026-06-09 12:32:29.913000,54
lopure/lora-adapter-ensembling-experiments,LoRa Adapter Ensembling Experiments,Who am I?,2026-06-09 10:09:34.490000,12
adilshamim8/nvidia-nemotron-model-reasoning-challenge-101,NVIDIA Nemotron Model Reasoning Challenge 101,Adil Shamim,2026-06-09 05:26:18.420000,32
nicholas33/nb153-nvidia-nemotron-inference,NB153 || NVIDIA NEMOTRON INFERENCE,NikolAiD153,2026-06-09 04:07:10.130000,0
