ref,title,author,lastRunTime,totalVotes,status,isPrivate
kimthanh211005/notebook-lab2-team-bard,notebook_lab2_team_bard,kimthanh211005,,,,
kimthanh211005/kien-tinker-lmhead-lr1e10,Kien Tinker lmhead lr1e10,kimthanh211005,,,,
tomohitoshimura/nemotron-honest-validation-harness,Nemotron honest validation harness,tomohito shimura,,,,
mspawar/breaking-the-sft-ceiling-on-nemotron-3-nano-30b,Breaking the SFT Ceiling on Nemotron-3-Nano-30B,MAYUR PAWAR,,,,
bayeshead/notebook834d2978c8,notebook834d2978c8,bayeshead,,,,
huikang/private-adapter-validation-notebook,[private] Adapter validation notebook,Tong Hui Kang,,,,
cdnghnam/notebook-rvq-colbert-lotee,[notebook] RVQ ColBERT -LOTEE,Đức Dũng Hà Nam,,,,
nguyendinhhaduong/unsloth-sft-training-fhd-no-svd, Unsloth SFT Training FHD (No SVD) ,NguyenDinhHaDuong,,,,
felipe1983/nemotron-solvable-families-and-synthetic-data,Nemotron Solvable Families and Synthetic Data,Felipe KNBIS,,,,
joebbr/nvidia-nemotron-submission-demo-5f36e0,NVIDIA Nemotron Submission Demo 5f36e0,joebbr,,,,
joebbr/nemotron-lora-fine-tuning,Nemotron LoRA Fine-tuning,joebbr,,,,
iamhieu2012/nemotron-ft,nemotron-ft,Võ Ngọc Hiếu,,,,
pkuszboi/grpo-nvidia-nemotron,GRPO-Nvidia-Nemotron,GUOHAOYANG,,,,
furkanbayndr/award-notebook,AWARD_NOTEBOOK,Furkan HALA MADRID,,,,
penguin069/tinker-submission-notebook-724f88,Tinker submission notebook 724f88,Penguin,,,,
johnsmall11/jxg-bss-da5d9e,jxg-bss da5d9e,John Small11,,,,
lilnb666/jxg-bss-da5d9e,jxg-bss da5d9e,lilnb666,,,,
ravindusaarappulige/rlvr-feasibility-the-zero-variance-rollout-wall,RLVR Feasibility & the Zero-Variance-Rollout Wall,Ravi Samara,,,,
ravindusaarappulige/solver-verified-per-category-cot-synthesis,Solver-Verified Per-Category CoT Synthesis,Ravi Samara,,,,
ravindusaarappulige/anti-forget-warm-start-lora-faithful-budget-eval,Anti-Forget Warm-Start LoRA + Faithful-Budget Eval,Ravi Samara,,,,
souldrive/1528-teams-tied-at-0-86-read-the-lb-first,1528 Teams Tied at 0.86: Read the LB First,souldrive,,,,
amith1707/ssr-reasoning-dataset-design-and-pipeline,SSR Reasoning Dataset: Design and Pipeline,AMITH NAIR,,,,
phuongncn/fususu-solution-v9,fususu-solution-v9,phuongncn,,,,
danielkaneshiro808/verifiable-synthetic-data-method,Verifiable Synthetic Data Method,Daniel Kaneshiro,,,,
waterxiao/nemotron-final-solution-writeup,Nemotron Final Solution Writeup,Water Xiao,,,,
aevionlabs/aevion-nemotron-v0-19,Aevion Nemotron v0.19,Aevion-Labs,,,,
paritoshtripathi5/nvidia-nemotron-noisy-adapter,nvidia nemotron | Noisy Adapter,Paritosh Kumar Tripathi,,,,
vngnguynhuy/refine,Refine,Vương Nguyễn Huy,,,,
syphers/0-86-use-less-token-cot,0.86 use less token Cot,Sypher_S,,,,
wethepeople918/nemotronloraforge,NemotronLoraForge,Nine1Eight,,,,
lopure/tinker-submission-notebook,Tinker submission notebook,Who am I?,,,,
pajakchaithongchai/new-benchmark-task-e1e79,New Benchmark Task e1e79,PAJAKCHAI THONGCHAI,,,,
evgendvorkin/nemotron-3-nano-lora-adapter-submission,Nemotron-3 Nano: LoRA Adapter Submission,Дворкин Евгений Владимирович,,,,
rageshthangaraj/nemotron-submission-final,nemotron-submission-final,Ragesh Thangaraj,,,,
huikang/private-tinker-submission-notebook,[private] Tinker submission notebook,Tong Hui Kang,,,,
matthewblakeward/dual-gradient-sacrificial-120x1500,Dual Gradient Sacrificial 120x1500,Matthew Blake Ward,,,,
rageshthangaraj/nemotron-traning-pipeline-optimized,nemotron traning pipeline optimized,Ragesh Thangaraj,,,,
gramath/nemotron-morpheus-full-training-pipeline-0-86,Nemotron Morpheus - full training pipeline 0.86,Gramath,,,,
ststxion/nemotron-sft-grpo-stst-torch-v2-10,Nemotron SFT/GRPO STST Torch v2.10,StSTXion,,,,
lopure/amplify-top-50-singular-value-retain-84-4-energy,Amplify Top 50% singular value&retain 84.4% Energy,Who am I?,,,,
nhbuniversity/softmax,Softmax,NHB university,,,,
kietnguyenoto/softmax,Softmax,Kiet_Nguyen_Oto,,,,
lopure/nvidia-cpu-00,NVIDIA CPU 00,Who am I?,,,,
nicholas33/nb153-nvidia-nemotron-inference,NB153 || NVIDIA NEMOTRON INFERENCE,NikolAiD153,,,,
aqibrazadev/nvidianemotronsubmission,NvidiaNemotronSubmission,Aqib Raza,,,,
kietnguyenoto/kltn-layer-01,KLTN-Layer-01,Kiet_Nguyen_Oto,,,,
gramath/nemotron-pred-audit,Nemotron pred audit,Gramath,,,,
ravi20076/finalevaluation-v1,FinalEvaluation|V1,Ravi Ramakrishnan,,,,
vaibhav2kesri/try-custom-cot,Try custom CoT,vaibhav kesri,,,,
youkinasa/nemotron-lora-sft-with-unsloth,Nemotron LoRA(SFT) with Unsloth,youkinasa,,,,
